"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"9:11:17.5748725 PM","Explorer.EXE","9848","CreateFile","D:\","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:11:17.5748977 PM","Explorer.EXE","9848","QueryBasicInformationFile","D:\","SUCCESS","CreationTime: 1/1/1601 2:00:00 AM, LastAccessTime: 1/1/1601 2:00:00 AM, LastWriteTime: 1/1/1601 2:00:00 AM, ChangeTime: 1/1/1601 2:00:00 AM, FileAttributes: D"
"9:11:17.5749089 PM","Explorer.EXE","9848","CloseFile","D:\","SUCCESS",""
"9:11:17.5751264 PM","Explorer.EXE","9848","CreateFile","D:\","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:11:17.5751459 PM","Explorer.EXE","9848","QueryBasicInformationFile","D:\","SUCCESS","CreationTime: 1/1/1601 2:00:00 AM, LastAccessTime: 1/1/1601 2:00:00 AM, LastWriteTime: 1/1/1601 2:00:00 AM, ChangeTime: 1/1/1601 2:00:00 AM, FileAttributes: D"
"9:11:17.5751702 PM","Explorer.EXE","9848","CloseFile","D:\","SUCCESS",""
"9:11:17.6453890 PM","SearchIndexer.exe","14224","CreateFile","D:\System Volume Information","SUCCESS","Desired Access: Read Control, Write DAC, Write Owner, Synchronize, Disposition: OpenIf, Options: Directory, Synchronous IO Non-Alert, Attributes: HS, ShareMode: Read, Write, Delete, AllocationSize: 0, OpenResult: Opened"
"9:11:17.6454281 PM","SearchIndexer.exe","14224","QuerySecurityFile","D:\System Volume Information","INVALID DEVICE REQUEST","Information: Owner, DACL"
"9:11:17.6454439 PM","SearchIndexer.exe","14224","QuerySecurityFile","D:\System Volume Information","INVALID DEVICE REQUEST","Information: Owner, DACL"
"9:11:17.6454611 PM","SearchIndexer.exe","14224","SetSecurityFile","D:\System Volume Information","INVALID DEVICE REQUEST","Information: Owner, DACL"
"9:11:17.6454762 PM","SearchIndexer.exe","14224","CloseFile","D:\System Volume Information","SUCCESS",""
"9:11:17.6456785 PM","SearchIndexer.exe","14224","CreateFile","D:\System Volume Information\IndexerVolumeGuid","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:11:17.6457201 PM","SearchIndexer.exe","14224","QueryBasicInformationFile","D:\System Volume Information\IndexerVolumeGuid","SUCCESS","CreationTime: 9/12/2026 7:26:54 PM, LastAccessTime: 9/12/2026 12:00:00 AM, LastWriteTime: 9/12/2026 7:26:56 PM, ChangeTime: 1/1/1601 2:00:00 AM, FileAttributes: A"
"9:11:17.6457340 PM","SearchIndexer.exe","14224","CloseFile","D:\System Volume Information\IndexerVolumeGuid","SUCCESS",""
"9:11:17.6458382 PM","SearchIndexer.exe","14224","CreateFile","D:\System Volume Information\IndexerVolumeGuid","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: None, AllocationSize: n/a, OpenResult: Opened"
"9:11:17.6459145 PM","SearchIndexer.exe","14224","QueryNameInformationFile","D:\System Volume Information\IndexerVolumeGuid","SUCCESS","Name: \System Volume Information\IndexerVolumeGuid"
"9:11:17.6459411 PM","SearchIndexer.exe","14224","QueryNameInformationFile","D:\System Volume Information\IndexerVolumeGuid","SUCCESS","Name: \System Volume Information\IndexerVolumeGuid"
"9:11:17.6460324 PM","SearchIndexer.exe","14224","QueryNormalizedNameInformationFile","D:\System Volume Information\IndexerVolumeGuid","SUCCESS",""
"9:11:17.6462475 PM","SearchIndexer.exe","14224","ReadFile","D:\System Volume Information\IndexerVolumeGuid","SUCCESS","Offset: 0, Length: 76, Priority: Normal"
"9:11:17.6463020 PM","SearchIndexer.exe","14224","ReadFile","D:\System Volume Information\IndexerVolumeGuid","SUCCESS","Offset: 0, Length: 76, I/O Flags: Non-cached, Paging I/O, Priority: Normal"
"9:11:17.6469008 PM","SearchIndexer.exe","14224","CloseFile","D:\System Volume Information\IndexerVolumeGuid","SUCCESS",""
"9:11:17.7264676 PM","Explorer.EXE","9848","CreateFile","D:\","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:11:17.7264941 PM","Explorer.EXE","9848","QueryBasicInformationFile","D:\","SUCCESS","CreationTime: 1/1/1601 2:00:00 AM, LastAccessTime: 1/1/1601 2:00:00 AM, LastWriteTime: 1/1/1601 2:00:00 AM, ChangeTime: 1/1/1601 2:00:00 AM, FileAttributes: D"
"9:11:17.7265070 PM","Explorer.EXE","9848","CloseFile","D:\","SUCCESS",""
"9:11:17.7267428 PM","Explorer.EXE","9848","CreateFile","D:\","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:11:17.7267630 PM","Explorer.EXE","9848","QueryBasicInformationFile","D:\","SUCCESS","CreationTime: 1/1/1601 2:00:00 AM, LastAccessTime: 1/1/1601 2:00:00 AM, LastWriteTime: 1/1/1601 2:00:00 AM, ChangeTime: 1/1/1601 2:00:00 AM, FileAttributes: D"
"9:11:17.7267761 PM","Explorer.EXE","9848","CloseFile","D:\","SUCCESS",""
