"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"9:23:05.2307511 PM","Notepad.exe","18080","QueryBasicInformationFile","D:\test-document.txt","SUCCESS","CreationTime: 9/12/2026 7:27:05 PM, LastAccessTime: 9/12/2026 12:00:00 AM, LastWriteTime: 5/23/2026 11:23:58 AM, ChangeTime: 1/1/1601 2:00:00 AM, FileAttributes: A"
"9:23:05.2307944 PM","Notepad.exe","18080","FileSystemControl","D:\test-document.txt","INVALID DEVICE REQUEST","Control: 0x90390 (Device:0x9 Function:228 Method: 0)"
"9:23:05.2308280 PM","Notepad.exe","18080","QueryAttributeInformationVolume","D:\test-document.txt","SUCCESS","FileSystemAttributes: Case Preserved, Unicode, EFS, 0x200, MaximumComponentNameLength: 255, FileSystemName: FAT32"
"9:23:05.2320306 PM","MsMpEng.exe","6804","CreateFileMapping","D:\test-document.txt","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_READONLY"
"9:23:05.2320462 PM","MsMpEng.exe","6804","QueryStandardInformationFile","D:\test-document.txt","SUCCESS","AllocationSize: 32,768, EndOfFile: 2,078, NumberOfLinks: 1, DeletePending: False, Directory: False"
"9:23:05.2321294 PM","MsMpEng.exe","6804","ReadFile","D:\test-document.txt","SUCCESS","Offset: 0, Length: 2,078, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"9:23:05.2339941 PM","Notepad.exe","18080","QueryInformationVolume","D:\test-document.txt","SUCCESS","VolumeCreationTime: 1/1/1601 2:00:00 AM, VolumeSerialNumber: 3CE5-D415, SupportsObjects: False, VolumeLabel: "
"9:23:05.2340314 PM","Notepad.exe","18080","QueryAllInformationFile","D:\test-document.txt","BUFFER OVERFLOW","CreationTime: 9/12/2026 7:27:05 PM, LastAccessTime: 9/12/2026 12:00:00 AM, LastWriteTime: 5/23/2026 11:23:58 AM, ChangeTime: 1/1/1601 2:00:00 AM, FileAttributes: A, AllocationSize: 32,768, EndOfFile: 2,078"
"9:23:05.2360964 PM","Notepad.exe","18080","CreateFileMapping","D:\test-document.txt","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_READONLY"
"9:23:05.2361551 PM","Notepad.exe","18080","QueryStandardInformationFile","D:\test-document.txt","SUCCESS","AllocationSize: 32,768, EndOfFile: 2,078, NumberOfLinks: 1, DeletePending: False, Directory: False"
"9:23:05.2362530 PM","Notepad.exe","18080","CreateFileMapping","D:\test-document.txt","SUCCESS","SyncType: SyncTypeOther"
"9:23:05.2363152 PM","Notepad.exe","18080","CloseFile","D:\test-document.txt","SUCCESS",""
"9:23:05.2885877 PM","Notepad.exe","18080","CreateFile","D:\","SUCCESS","Desired Access: Read Data/List Directory, Read Attributes, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Disallow Exclusive, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:23:05.2886503 PM","Notepad.exe","18080","QueryRemoteProtocolInformation","D:\","INVALID PARAMETER",""
"9:23:05.2886700 PM","Notepad.exe","18080","QueryDirectory","D:\test-document.txt","SUCCESS","FileInformationClass: FileIdBothDirectoryInformation, Filter: test-document.txt, 2: test-document.txt"
"9:23:05.2887222 PM","Notepad.exe","18080","CloseFile","D:\","SUCCESS",""
"9:23:05.5010503 PM","Notepad.exe","18080","CreateFile","D:\test-document.txt","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:23:05.5011004 PM","Notepad.exe","18080","QueryNetworkOpenInformationFile","D:\test-document.txt","SUCCESS","CreationTime: 9/12/2026 7:27:05 PM, LastAccessTime: 9/12/2026 12:00:00 AM, LastWriteTime: 5/23/2026 11:23:58 AM, ChangeTime: 1/1/1980 12:00:00 AM, AllocationSize: 1/1/1601 2:00:00 AM, EndOfFile: 1/1/1601 2:00:00 AM, FileAttributes: A"
"9:23:05.5011231 PM","Notepad.exe","18080","CloseFile","D:\test-document.txt","SUCCESS",""
"9:23:05.5013014 PM","Notepad.exe","18080","CreateFile","D:\test-document.txt","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:23:05.5013366 PM","Notepad.exe","18080","QueryNetworkOpenInformationFile","D:\test-document.txt","SUCCESS","CreationTime: 9/12/2026 7:27:05 PM, LastAccessTime: 9/12/2026 12:00:00 AM, LastWriteTime: 5/23/2026 11:23:58 AM, ChangeTime: 1/1/1980 12:00:00 AM, AllocationSize: 1/1/1601 2:00:00 AM, EndOfFile: 1/1/1601 2:00:00 AM, FileAttributes: A"
"9:23:05.5013568 PM","Notepad.exe","18080","CloseFile","D:\test-document.txt","SUCCESS",""
"9:23:05.5022542 PM","Explorer.EXE","9848","CreateFile","D:\test-document.txt","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:23:05.5022695 PM","Explorer.EXE","9848","QueryBasicInformationFile","D:\test-document.txt","SUCCESS","CreationTime: 9/12/2026 7:27:05 PM, LastAccessTime: 9/12/2026 12:00:00 AM, LastWriteTime: 5/23/2026 11:23:58 AM, ChangeTime: 1/1/1601 2:00:00 AM, FileAttributes: A"
"9:23:05.5022773 PM","Explorer.EXE","9848","CloseFile","D:\test-document.txt","SUCCESS",""
